age,year,cohort,sex,health,happy
39,1982,1943,2,3,4
28,1982,1954,2,5,3
20,1982,1962,2,3,3
69,1982,1913,2,3,4
23,1982,1959,2,5,4
52,1982,1930,2,5,3
20,1982,1962,2,5,3
21,1982,1961,2,4,3
18,1982,1964,2,4,4
29,1982,1953,1,4,4
21,1982,1961,2,4,2
61,1982,1921,2,3,3
34,1982,1948,1,4,4
35,1982,1947,2,4,4
21,1982,1961,2,4,3
36,1982,1946,2,4,3
71,1982,1911,1,1,4
66,1982,1916,1,5,4
55,1982,1927,2,3,3
57,1982,1925,1,4,3
18,1982,1964,1,5,4
21,1982,1961,1,5,3
45,1982,1937,1,5,4
40,1982,1942,2,5,3
18,1982,1964,2,5,3
23,1982,1959,1,5,2
70,1982,1912,2,3,3
26,1982,1956,2,3,3
26,1982,1956,1,4,3
30,1982,1952,1,4,3
76,1982,1906,1,4,4
21,1982,1961,2,5,2
31,1982,1951,2,3,3
51,1982,1931,2,5,4
33,1982,1949,1,4,4
43,1982,1939,2,3,3
69,1982,1913,1,3,3
19,1982,1963,1,5,3
36,1982,1946,2,4,4
20,1982,1962,2,3,3
18,1982,1964,2,5,4
31,1982,1951,2,4,3
70,1982,1912,2,1,3
74,1982,1908,1,2,3
62,1982,1920,2,3,4
72,1982,1910,2,4,4
18,1982,1964,2,3,4
76,1982,1906,1,5,4
53,1982,1929,2,3,2
55,1982,1927,2,4,3
77,1982,1905,2,5,4
58,1982,1924,2,3,3
56,1982,1926,1,4,3
23,1982,1959,1,5,3
37,1982,1945,1,4,3
28,1982,1954,1,5,3
38,1982,1944,2,4,4
21,1982,1961,1,4,3
19,1982,1963,2,4,3
54,1982,1928,1,3,3
32,1982,1950,1,5,4
19,1982,1963,1,4,3
68,1982,1914,2,3,3
34,1982,1948,2,3,3
72,1982,1910,2,3,4
29,1982,1953,2,5,3
74,1982,1908,1,5,4
30,1982,1952,2,4,3
60,1982,1922,2,2,3
70,1982,1912,1,2,3
74,1982,1908,2,3,4
46,1982,1936,2,5,4
35,1982,1947,1,5,2
25,1982,1957,2,4,3
63,1982,1919,1,4,4
29,1982,1953,2,3,3
21,1982,1961,2,4,4
19,1982,1963,1,3,4
38,1982,1944,1,5,3
34,1982,1948,2,4,3
56,1982,1926,1,3,3
48,1982,1934,2,3,3
26,1982,1956,1,5,3
52,1982,1930,2,3,4
18,1982,1964,1,5,3
18,1982,1964,1,4,3
24,1982,1958,2,4,3
29,1982,1953,1,4,4
45,1982,1937,1,3,4
18,1982,1964,2,4,3
30,1982,1952,1,5,3
69,1982,1913,2,1,3
24,1982,1958,1,3,3
76,1982,1906,1,3,3
23,1982,1959,2,5,3
60,1982,1922,2,4,3
23,1982,1959,2,5,3
28,1982,1954,1,3,3
60,1982,1922,1,5,4
49,1982,1933,1,3,3
51,1982,1931,2,5,3
34,1982,1948,2,4,2
18,1982,1964,1,5,3
22,1982,1960,1,3,3
81,1982,1901,1,4,3
63,1982,1919,1,3,3
96,1982,1886,1,3,3
52,1982,1930,1,5,4
50,1982,1932,2,4,3
57,1982,1925,1,1,2
23,1982,1959,1,4,3
28,1982,1954,1,3,3
54,1982,1928,1,3,3
64,1982,1918,1,2,3
18,1982,1964,1,5,3
37,1982,1945,1,5,3
42,1982,1940,2,4,4
59,1982,1923,1,3,3
22,1982,1960,2,5,4
23,1982,1959,2,4,3
18,1982,1964,1,5,4
19,1982,1963,1,5,3
18,1982,1964,2,4,3
45,1982,1937,1,4,3
24,1982,1958,1,5,3
19,1982,1963,2,4,4
25,1982,1957,2,4,3
20,1982,1962,2,5,4
58,1982,1924,2,5,3
77,1982,1905,2,4,3
41,1982,1941,1,4,3
53,1982,1929,2,5,4
24,1982,1958,1,5,3
39,1982,1943,2,5,3
42,1982,1940,2,3,3
77,1982,1905,1,3,3
32,1982,1950,2,3,3
58,1982,1924,2,3,3
23,1982,1959,1,5,3
46,1982,1936,2,4,4
20,1982,1962,2,4,2
32,1982,1950,1,4,3
72,1982,1910,1,4,3
19,1982,1963,2,5,3
66,1982,1916,1,3,4
42,1982,1940,2,5,3
42,1982,1940,2,5,3
35,1982,1947,1,5,3
19,1982,1963,2,5,4
58,1982,1924,1,4,4
23,1982,1959,1,4,3
22,1982,1960,2,5,3
62,1982,1920,1,4,3
31,1982,1951,1,4,2
31,1982,1951,2,5,4
42,1982,1940,1,4,3
19,1982,1963,2,5,3
24,1982,1958,2,4,2
26,1982,1956,1,4,3
75,1982,1907,2,3,3
35,1982,1947,1,4,3
20,1982,1962,2,4,3
20,1982,1962,2,4,3
36,1982,1946,1,4,3
44,1982,1938,2,4,3
38,1982,1944,1,3,3
18,1982,1964,2,3,4
23,1982,1959,1,5,3
22,1982,1960,2,4,4
35,1982,1947,2,4,3
20,1982,1962,2,5,3
25,1982,1957,1,5,4
21,1982,1961,2,5,2
22,1982,1960,2,5,3
63,1982,1919,2,3,3
34,1982,1948,2,4,4
26,1982,1956,2,5,3
24,1982,1958,2,4,3
21,1982,1961,2,2,2
27,1982,1955,2,4,3
23,1982,1959,2,4,4
62,1982,1920,2,5,4
36,1982,1946,2,4,4
30,1982,1952,1,5,3
18,1982,1964,1,4,3
23,1982,1959,1,4,2
32,1982,1950,1,4,3
45,1982,1937,1,3,2
30,1982,1952,2,5,4
42,1982,1940,2,4,3
25,1982,1957,2,4,3
26,1982,1956,1,2,1
35,1982,1947,1,4,3
49,1982,1933,2,3,2
48,1982,1934,1,4,3
43,1982,1939,1,4,3
19,1982,1963,1,4,3
20,1982,1962,2,5,3
53,1982,1929,2,3,2
22,1982,1960,1,4,3
34,1982,1948,1,5,4
29,1982,1953,2,4,3
35,1982,1947,2,5,4
29,1982,1953,1,5,4
60,1982,1922,2,4,3
69,1982,1913,1,1,4
68,1982,1914,2,5,4
52,1982,1930,1,4,3
29,1982,1953,2,5,3
29,1982,1953,2,4,3
22,1982,1960,1,5,4
46,1982,1936,2,5,3
65,1982,1917,1,2,2
44,1982,1938,2,4,4
62,1982,1920,1,3,3
39,1982,1943,1,5,4
33,1982,1949,2,5,3
18,1982,1964,1,5,3
67,1982,1915,2,4,3
70,1982,1912,1,2,4
74,1982,1908,2,3,4
53,1982,1929,2,3,4
45,1982,1937,2,4,3
21,1982,1961,2,4,3
42,1982,1940,1,4,3
18,1982,1964,2,5,3
70,1982,1912,2,3,3
40,1982,1942,1,3,2
43,1982,1939,2,4,3
52,1982,1930,2,3,2
65,1982,1917,1,2,4
28,1982,1954,2,5,3
66,1982,1916,1,4,3
30,1982,1952,2,4,3
54,1982,1928,1,5,3
35,1982,1947,2,4,3
27,1982,1955,2,4,2
32,1982,1950,2,5,3
79,1982,1903,1,5,4
21,1982,1961,2,4,3
26,1982,1956,2,5,3
46,1982,1936,2,4,3
61,1982,1921,2,5,4
65,1982,1917,2,3,3
59,1982,1923,1,4,3
18,1982,1964,1,3,3
42,1982,1940,1,5,3
26,1982,1956,1,4,3
31,1982,1951,2,5,3
41,1982,1941,2,4,3
46,1982,1936,1,5,3
26,1982,1956,2,5,4
70,1982,1912,2,3,3
55,1982,1927,2,3,4
22,1982,1960,1,4,4
52,1982,1930,1,4,4
30,1982,1952,1,4,3
63,1982,1919,2,3,3
44,1982,1938,1,4,3
38,1982,1944,2,5,3
79,1982,1903,1,4,3
42,1982,1940,2,3,4
29,1982,1953,1,5,4
48,1982,1934,2,4,3
55,1982,1927,2,5,2
52,1982,1930,2,3,3
18,1982,1964,1,5,4
40,1982,1942,1,4,3
36,1982,1946,2,4,3
35,1982,1947,1,5,2
22,1982,1960,2,5,3
70,1982,1912,2,4,3
34,1982,1948,2,5,4
18,1982,1964,2,5,3
41,1982,1941,2,3,3
21,1982,1961,1,4,3
46,1982,1936,1,5,4
22,1982,1960,1,5,3
57,1982,1925,2,3,3
50,1982,1932,1,3,4
33,1982,1949,1,5,3
66,1982,1916,2,3,2
24,1982,1958,2,3,2
40,1982,1942,1,5,2
52,1982,1930,2,2,3
50,1982,1932,1,4,4
19,1982,1963,2,5,3
72,1982,1910,1,3,3
36,1982,1946,2,4,3
22,1982,1960,2,4,4
40,1982,1942,2,4,4
37,1982,1945,1,5,4
28,1982,1954,1,4,3
18,1982,1964,1,4,3
24,1982,1958,2,3,3
30,1982,1952,1,5,3
30,1982,1952,1,4,2
26,1982,1956,2,4,3
31,1982,1951,1,5,4
27,1982,1955,2,5,4
69,1982,1913,2,3,2
69,1982,1913,2,1,3
36,1982,1946,1,5,3
